_id,text,created_at,geo,source
ObjectId(556e466e3ae74071b2e60668),No Kendrick or Turner in game 2! #Dodgers,2015-06-03T00:12:30.000Z,,Twitter for iPhone
ObjectId(556e466f3ae74071b2e60669),Joel Peralta (neck) throws off mound - Joel Peralta (R) Los Angeles Dodgers http://t.co/RgBBMPcqtG,2015-06-03T00:12:31.000Z,,IFTTT
ObjectId(556e46703ae74071b2e6066a),"RT @Dodgers: #Dodgers lineup for game two:
Pederson CF
Hernandez 2B
Gonzalez 1B
Grandal C
Ethier RF
Callaspo 3B
Rollins SS
Heisey LF
Greink…",2015-06-03T00:12:32.000Z,,Twitter for iPhone
ObjectId(556e46773ae74071b2e6066b),"@Dodgers So bummed we can't go to your Cuban Heritage Day, but thanks for the tee and we will be there in espíritu!!! http://t.co/ka31vxaU0w",2015-06-03T00:12:39.000Z,,Twitter for iPhone
ObjectId(556e46783ae74071b2e6066c),"RT @Dodgers: FINAL: Rockies 6, #Dodgers 3.",2015-06-03T00:12:40.000Z,,Twitter for iPad
ObjectId(556e467e3ae74071b2e6066d),@Dodgers  well maybe ethier can do something today.since you don't play as a team anymore.,2015-06-03T00:12:46.000Z,,Twitter for Android
ObjectId(556e46823ae74071b2e6066e),"RT @billplunkettocr: Pederson: ""You guys are the ones who said I can't hit left-handed pitching. I hit them last year so I guess you guys t…",2015-06-03T00:12:49.000Z,,Twitter for iPhone
ObjectId(556e46943ae74071b2e6066f),De La Rosa Leads Rockies Over Dodgers In Doubleheader Opener: Jorge De La Rosa threw six solid innings with a… http://t.co/y8ygiUM7Nk,2015-06-03T00:13:08.000Z,"{""coordinates"":[39.746012,-104.994593],""type"":""Point""}",dlvr.it
ObjectId(556e46963ae74071b2e60670),"RT @billplunkettocr: Pederson: ""You guys are the ones who said I can't hit left-handed pitching. I hit them last year so I guess you guys t…",2015-06-03T00:13:10.000Z,,Twitter for iPhone
ObjectId(556e46973ae74071b2e60671),#Cards #Card SANDY KOUFAX 2001 #Topps Golden Anniversary Great Brooklyn #Dodgers SP AUTO http://t.co/5IyeS66u1H #Baseball #Bargains,2015-06-03T00:13:10.000Z,,dlvr.it
ObjectId(556e46973ae74071b2e60672),"MLB: *FREE PARLAY* RISK $900 BRAVES -ML ' ORIOLES -ML ' DODGERS -ML (WIN $5,176)
#IBN",2015-06-03T00:13:11.000Z,,Twitter Web Client
ObjectId(556e46973ae74071b2e60673),#WeLoveLA #Dodgers Joc Pederson's power continues to blossom http://t.co/RKr8BQVxvA #SportsRoadhouse,2015-06-03T00:13:11.000Z,,dlvr.it
ObjectId(556e46973ae74071b2e60674),"RT @PerezHilton: @Dodgers So bummed we can't go to your Cuban Heritage Day, but thanks for the tee and we will be there in espíritu!!! http…",2015-06-03T00:13:11.000Z,,Twitter for Android
ObjectId(556e46973ae74071b2e60675),#Motivation #Fitbit Book Review: Attract Your Ideal Weight: 8 Secrets of People Who Lose Weight… http://t.co/OlPsMQpNPw #Dodgers #Sporting,2015-06-03T00:13:11.000Z,,dlvr.it
ObjectId(556e46983ae74071b2e60676),#Dodgers #ThinkBlue Joc Pederson's power continues to blossom http://t.co/axivjNzw2W #SportsRoadhouse,2015-06-03T00:13:11.000Z,,dlvr.it
ObjectId(556e46983ae74071b2e60677),"#WeLoveLA #Dodgers Pederson HR, Dodgers fall to Rockies in doubleheader opener http://t.co/cVtcu2mP0k #SportsRoadhouse",2015-06-03T00:13:11.000Z,,dlvr.it
ObjectId(556e46983ae74071b2e60678),#WeLoveLA #Dodgers De La Rosa pitches six strong innings as Rockies win 6-3 http://t.co/8io5X6xxlf #SportsRoadhouse,2015-06-03T00:13:12.000Z,,dlvr.it
ObjectId(556e46983ae74071b2e60679),L L L #Cards #Card 1965 #Topps #300 Sandy Koufax HOF #LosAngeles #Dodgers PSA 7 NM #Baseball #Bargains http://t.co/Q8rCfMjs9V,2015-06-03T00:13:11.000Z,,dlvr.it
