_id,text,created_at,geo,source
ObjectId(556e465e3ae74071aff073bb),"""The Color of the Wild"" explores one woman's life during an adventure filled year in the high Rockies. http://t.co/C5QgKQcIaI",2015-06-03T00:12:14.000Z,,SocialOomph
ObjectId(556e46783ae74071aff073bc),"RT @Dodgers: FINAL: Rockies 6, #Dodgers 3.",2015-06-03T00:12:40.000Z,,Twitter for iPad
ObjectId(556e46943ae74071aff073bd),De La Rosa Leads Rockies Over Dodgers In Doubleheader Opener: Jorge De La Rosa threw six solid innings with a… http://t.co/y8ygiUM7Nk,2015-06-03T00:13:08.000Z,"{""coordinates"":[39.746012,-104.994593],""type"":""Point""}",dlvr.it
ObjectId(556e46973ae74071aff073be),#MLB #Rockies 2013 #Topps Allen &amp; Ginter #178 Carlos Gonzalez Colorado Rockies http://t.co/KRzSWMo3ep #CarlosGonzalez,2015-06-03T00:13:11.000Z,,dlvr.it
ObjectId(556e46973ae74071aff073bf),#Exercise #Fitblr Book Review: Attract Your Ideal Weight: 8 Secrets of People Who Lose Weight and… http://t.co/UwPJ3cqMNw #Rockies #Workout,2015-06-03T00:13:11.000Z,,dlvr.it
ObjectId(556e46983ae74071aff073c0),"#WeLoveLA #Dodgers Pederson HR, Dodgers fall to Rockies in doubleheader opener http://t.co/cVtcu2mP0k #SportsRoadhouse",2015-06-03T00:13:11.000Z,,dlvr.it
ObjectId(556e46983ae74071aff073c1),L #MLB #Rockies 2015 #Topps Gypsy Queen #126 Carlos Gonzalez Colorado Rockies #CarlosGonzalez http://t.co/Vd7S8BMNX5,2015-06-03T00:13:12.000Z,,dlvr.it
ObjectId(556e46983ae74071aff073c2),#WeLoveLA #Dodgers De La Rosa pitches six strong innings as Rockies win 6-3 http://t.co/8io5X6xxlf #SportsRoadhouse,2015-06-03T00:13:12.000Z,,dlvr.it
ObjectId(556e46983ae74071aff073c3),"#Dodgers #ThinkBlue Pederson HR, Dodgers fall to Rockies in doubleheader opener http://t.co/plY1V3eqYh #SportsRoadhouse",2015-06-03T00:13:12.000Z,,dlvr.it
ObjectId(556e46983ae74071aff073c4),"Pitcher mexicano, clave en triunfo de Rockies http://t.co/KgdWb4KVPC",2015-06-03T00:13:12.000Z,,IFTTT
ObjectId(556e46993ae74071aff073c5),#Dodgers #ThinkBlue De La Rosa pitches six strong innings as Rockies win 6-3 http://t.co/KUOoaDb2CO #SportsRoadhouse,2015-06-03T00:13:12.000Z,,dlvr.it
ObjectId(556e46a73ae74071aff073c6),When you talk a bunch of crap about the Rockies losing but then they win @peytonblomberg http://t.co/XTVtKNAHzH,2015-06-03T00:13:27.000Z,,Twitter for iPhone
ObjectId(556e46a93ae74071aff073c7),"RT @OwnersBoxMLB: #MLB #Lineup #Rockies
GAME 2
Blackmon CF
LeMahieu 2B
Tulowitzki SS
Gonzalez RF
Arenado 3B
Paulsen 1B
Hundley C
Barnes LF
…",2015-06-03T00:13:29.000Z,,Twitter Web Client
ObjectId(556e46af3ae74071aff073c8),"RT @OwnersBoxMLB: #MLB #Rockies
Daniel Descalso will not be in the starting lineup for Tuesday's Game 2 vs Los Angeles.
@DanielDescalso",2015-06-03T00:13:35.000Z,,Twitter Web Client
ObjectId(556e46b33ae74071aff073c9),"RT @OwnersBoxMLB: #MLB #Rockies
Troy Tulowitzki will start at SS and bat 3rd in Game 2 vs Los Angeles Dodgers on Tuesday.",2015-06-03T00:13:39.000Z,,Twitter Web Client
ObjectId(556e46b53ae74071aff073ca),Rockies Nolan Arenado continues hot hitting with go-ahead RBI single in 1st game of doubleheader vs. Dodgers.,2015-06-03T00:13:41.000Z,,Twitter for Android
ObjectId(556e46b73ae74071aff073cb),"RT @OwnersBoxMLB: #MLB #Rockies
Michael McKenry will not be in the starting lineup for Tuesday's Game 2 vs Los Angeles.
@theFortMcKenry",2015-06-03T00:13:43.000Z,,Twitter Web Client
ObjectId(556e46bb3ae74071aff073cc),"RT @OwnersBoxMLB: #MLB #Rockies
Nick Hundley will start at C and bat 7th in Game 2 vs Los Angeles Dodgers on Tuesday.",2015-06-03T00:13:47.000Z,,Twitter Web Client
ObjectId(556e46bf3ae74071aff073cd),"RT @OwnersBoxMLB: #MLB #Rockies
David Hale will be the starting pitcher and bat 9th in Game 2 vs Los Angeles Dodgers on Tuesday.",2015-06-03T00:13:51.000Z,,Twitter Web Client
ObjectId(556e46cb3ae74071aff073ce),RT @maddietbrown: When you talk a bunch of crap about the Rockies losing but then they win @peytonblomberg http://t.co/XTVtKNAHzH,2015-06-03T00:14:03.000Z,,Twitter for iPhone
ObjectId(556e46ce3ae74071aff073cf),"RT @Dodgers: RECAP: #Dodgers can't sustain quick start to twin bill in loss to Rockies, 6-3. {http://t.co/KyLgA8rUKe} http://t.co/XAmFOo1wsN",2015-06-03T00:14:05.000Z,,Twitter for iPad
ObjectId(556e46d03ae74071aff073d0),RT @ThatTexasBoy26: Already a great day! Hit 2 on the @Dodgers @Rockies early game so far. #moneyfornothing #mypicks #sportspicks http://t.…,2015-06-03T00:14:08.000Z,,FamoustTwit
ObjectId(556e46d43ae74071aff073d1),#MLB #Baseball NEW ERA HAT CAP FITTED MLB COLORADO #Rockies SIZE 7 3/4 BLACK PURPLE http://t.co/GtS86fBsB0 #Discount #Auction,2015-06-03T00:14:11.000Z,,dlvr.it
ObjectId(556e46d43ae74071aff073d2),#Collectibles #Buzz #MLB Colorado #Rockies #Baseball Team Black T Shirt L http://t.co/XdeVTwVJYH #WishList #BuyItNow,2015-06-03T00:14:12.000Z,,dlvr.it
ObjectId(556e46d43ae74071aff073d3),#Sporting #Goods NEW ERA HAT CAP FITTED #MLB COLORADO #Rockies SIZE 7 3/4 BLACK PURPLE http://t.co/uAVDnmqMhN #Bestseller #Buy,2015-06-03T00:14:12.000Z,,dlvr.it
ObjectId(556e46fc3ae74071aff073d4),Back at Coors for game 2 #dodgers #rockies MLB regular season game #56 this year http://t.co/Z6M5yp1ynu,2015-06-03T00:14:52.000Z,,Twitter for iPhone
ObjectId(556e47003ae74071aff073d5),"Pitcher mexicano, clave en triunfo de Rockies http://t.co/CMLV2CFqMW",2015-06-03T00:14:55.000Z,,IFTTT
ObjectId(556e47073ae74071aff073d6),@Rockies We see you on @Snapchat. Thanks for the love. http://t.co/2UUxmEAmh7,2015-06-03T00:15:03.000Z,,Twitter for iPhone
ObjectId(556e470a3ae74071aff073d7),"Rapid Reaction: Los Angeles Dodgers 11, Colorado ... http://t.co/tTdTFWx000",2015-06-03T00:15:05.000Z,,dlvr.it
ObjectId(556e470a3ae74071aff073d8),"Pitcher mexicano, clave en triunfo de Rockies: Jorge de la Rosa cubre eficazmente seis innings en partido gana... http://t.co/FVDfJmALjc",2015-06-03T00:15:06.000Z,,Botize
ObjectId(556e470a3ae74071aff073d9),"Pitcher mexicano, clave en triunfo de Rockies: Jorge de la Rosa cubre eficazmente seis innings en partido gana... http://t.co/FVDfJmALjc",2015-06-03T00:15:06.000Z,,Botize
ObjectId(556e470c3ae74071aff073da),TIX http://t.co/4dDbVNoYAU 2 Infield Box #Ticket Colorado #Rockies vs San Diego Padres 9/19 http://t.co/itvIjYPkcf #Tickets #Forsale,2015-06-03T00:15:07.000Z,,dlvr.it
ObjectId(556e47103ae74071aff073db),Astros playoffs odds rise; big drop for BoSox http://t.co/OFwOPt6oZn #Rockies #mlb,2015-06-03T00:15:12.000Z,,TTYtter
ObjectId(556e47103ae74071aff073dc),RT @TourismGolden: @TrebleCone Partners with Resorts of the Canadian Rockies http://t.co/81esndFWSH @KickingHorseMtn @SkiFernie @SkiKimberl…,2015-06-03T00:15:12.000Z,,Twitter for iPhone
ObjectId(556e471d3ae74071aff073dd),RT @Avalanche: @Rockies We see you on @Snapchat. Thanks for the love. http://t.co/2UUxmEAmh7,2015-06-03T00:15:25.000Z,,Twitter for Android
ObjectId(556e47323ae74071aff073de),RT @MeridianoTV: #MLB De La Rosa lidera victoria de Rockies ante Dodgers http://t.co/g2pC8Vilt3 http://t.co/hmi0R1mW7i,2015-06-03T00:15:46.000Z,,Twitter Web Client
ObjectId(556e475d3ae74071aff073df),"Michael McKenry, Ben Paulsen lead Rockies past Dodgers, 6-3 http://t.co/ygXEIrLrS4",2015-06-03T00:16:29.000Z,,RockiesRR
ObjectId(556e47603ae74071aff073e0),TIX http://t.co/4dDbVNoYAU L L 2 Infield Box #Ticket Colorado #Rockies vs Los Angeles Dodgers 9/25 http://t.co/5RKRoGYTrD #Tickets…,2015-06-03T00:16:32.000Z,,dlvr.it
